modulus_blocks;factor_blocks;avg_peak_memory;avg_allocations
8;5;5464;311
16;10;15357;610
32;21;58181;1267
64;42;220310;2523
128;85;881328;5094
256;170;3489334;10177
512;341;13970417;20402
1024;682;55752549;40792
