modulus_blocks;factor_blocks;avg_peak_memory;avg_allocations
8;5;20112;608
16;10;74014;1188
32;21;318152;2581
64;42;1258272;5186
128;85;5105596;10555
256;170;20257478;21023
512;341;81606204;42380
1024;682;326461271;84872
