experiment_number;exponent;avg_time_microseconds
0;2;2
1;4;4
2;6;4
3;8;8
4;10;9
5;12;9
6;14;10
7;16;19
8;18;21
9;20;22
10;22;23
11;24;24
12;26;26
13;28;28
14;30;31
15;32;62
16;34;64
17;36;67
18;38;69
19;40;71
20;42;81
21;44;79
22;46;82
23;48;82
24;50;86
25;52;90
26;54;94
27;56;112
28;58;102
29;60;110
30;62;115
31;64;228
32;66;232
33;68;252
34;70;245
35;72;249
36;74;254
37;76;325
38;78;266
39;80;269
40;82;277
41;84;282
42;86;291
43;88;294
44;90;301
45;92;309
46;94;316
47;96;309
48;98;318
49;100;329
50;102;335
51;104;342
52;106;440
53;108;357
54;110;366
55;112;372
56;114;383
57;116;419
58;118;400
59;120;408
60;122;417
61;124;427
62;126;436
63;128;905
64;130;899
65;132;921
66;134;924
67;136;930
68;138;941
69;140;953
70;142;975
71;144;977
72;146;982
73;148;995
74;150;1006
75;152;1020
76;154;1030
77;156;1041
78;158;1055
79;160;1054
80;162;1067
81;164;1079
82;166;1091
83;168;1104
84;170;1122
85;172;1132
86;174;1145
87;176;1172
88;178;1170
89;180;1215
90;182;1370
91;184;1212
92;186;1228
93;188;1242
94;190;1264
95;192;1238
96;194;1237
97;196;1265
98;198;1309
99;200;1279
100;202;1303
101;204;1317
102;206;1344
103;208;1392
104;210;1398
105;212;1402
106;214;1468
107;216;1410
108;218;1425
109;220;1520
110;222;1490
111;224;1465
112;226;1490
113;228;1504
114;230;1521
115;232;1543
116;234;1555
117;236;1579
118;238;1592
119;240;1608
120;242;1627
121;244;1748
122;246;1668
123;248;1685
124;250;1705
125;252;1725
126;254;1764
127;256;3541
128;258;3589
129;260;3579
130;262;3589
131;264;3614
132;266;3647
133;268;3655
134;270;3715
135;272;3695
136;274;3727
137;276;3743
138;278;3769
139;280;3778
140;282;3841
141;284;3838
142;286;3850
143;288;3859
144;290;3929
145;292;3913
146;294;3927
147;296;3953
148;298;3987
149;300;4008
150;302;4032
151;304;4077
152;306;4317
153;308;4106
154;310;4128
155;312;4149
156;314;4204
157;316;4198
158;318;4225
159;320;4190
160;322;4228
161;324;4270
162;326;4286
163;328;4484
164;330;4318
165;332;4339
166;334;4409
167;336;4389
168;338;4559
169;340;4525
170;342;4470
171;344;4502
172;346;4526
173;348;4560
174;350;4688
175;352;4685
176;354;4645
177;356;4661
178;358;4795
179;360;4787
180;362;4826
181;364;4548
182;366;4725
183;368;4908
184;370;4629
185;372;4946
186;374;4613
187;376;4771
188;378;5236
189;380;4543
190;382;5164
191;384;4586
192;386;4485
193;388;5212
194;390;4660
195;392;5004
196;394;4689
197;396;4877
198;398;5073
199;400;5149
200;402;5141
201;404;5153
202;406;5329
203;408;5168
204;410;5115
205;412;5370
206;414;5327
207;416;5343
208;418;5367
209;420;5513
210;422;5453
211;424;5523
212;426;5505
213;428;5567
214;430;5594
215;432;5607
216;434;8176
217;436;5699
218;438;5721
219;440;5783
220;442;5828
221;444;5843
222;446;5849
223;448;5884
224;450;5943
225;452;5931
226;454;5952
227;456;5978
228;458;6039
229;460;6108
230;462;6168
231;464;6142
232;466;6170
233;468;6202
234;470;6288
235;472;6302
236;474;6340
237;476;6365
238;478;6512
239;480;6409
240;482;6866
241;484;6491
242;486;6589
243;488;6618
244;490;6810
245;492;6673
246;494;6733
247;496;6783
248;498;6822
249;500;6811
250;502;6249
251;504;6547
252;506;6705
253;508;7190
254;510;6809
255;512;14318
256;514;14062
257;516;13256
258;518;14393
259;520;14337
260;522;14167
261;524;14228
262;526;14373
263;528;14605
264;530;14475
265;532;13727
266;534;14276
267;536;14412
268;538;14524
269;540;14810
270;542;14902
271;544;14740
272;546;15006
273;548;14846
274;550;14869
275;552;14936
276;554;15053
277;556;15026
278;558;15100
279;560;15101
280;562;15276
281;564;15238
282;566;15352
283;568;15489
284;570;15330
285;572;15374
286;574;15543
287;576;15480
288;578;15255
289;580;15048
290;582;15530
291;584;15565
292;586;15639
293;588;15710
294;590;15631
295;592;16446
296;594;15892
297;596;15701
298;598;16166
299;600;15741
300;602;15694
301;604;16061
302;606;16186
303;608;16111
304;610;15602
305;612;16508
306;614;15785
307;616;16132
308;618;16460
309;620;16330
310;622;15523
311;624;16460
312;626;16993
313;628;17112
314;630;16877
315;632;17033
316;634;17266
317;636;17074
318;638;17170
319;640;17078
320;642;16797
321;644;17338
322;646;17948
323;648;17527
324;650;17819
325;652;17626
326;654;17509
327;656;17600
328;658;17661
329;660;17722
330;662;17638
331;664;17766
332;666;17840
333;668;17840
334;670;18017
335;672;18025
336;674;17914
337;676;18069
338;678;17348
339;680;17278
340;682;18194
341;684;18813
342;686;18538
343;688;24381
344;690;18301
345;692;18723
346;694;18454
347;696;18566
348;698;17966
349;700;17905
350;702;17999
351;704;17977
352;706;18325
353;708;18427
354;710;18219
355;712;18405
356;714;19650
357;716;19806
358;718;19524
359;720;19958
360;722;19505
361;724;20110
362;726;19921
363;728;19838
364;730;19972
365;732;20095
366;734;20199
367;736;20342
368;738;20124
369;740;20261
370;742;20522
371;744;20326
372;746;20673
373;748;20307
374;750;19573
375;752;19585
376;754;20583
377;756;20337
378;758;20452
379;760;20732
380;762;21157
381;764;20899
382;766;20922
383;768;20145
384;770;19975
385;772;20385
386;774;19809
387;776;20200
388;778;20273
389;780;20579
390;782;20592
391;784;20397
392;786;20616
393;788;22634
394;790;21587
395;792;20631
396;794;22972
397;796;20654
398;798;21860
399;800;19707
400;802;20562
401;804;19632
402;806;19733
403;808;21076
404;810;20376
405;812;20260
406;814;20521
407;816;20080
408;818;20239
409;820;21119
410;822;21134
411;824;20246
412;826;21814
413;828;21995
414;830;22710
415;832;22705
416;834;22438
417;836;22200
418;838;21920
419;840;22052
420;842;23851
421;844;22000
422;846;22403
423;848;22754
424;850;22625
425;852;22664
426;854;22566
427;856;23036
428;858;22910
429;860;22854
430;862;23237
431;864;23146
432;866;23346
433;868;23225
434;870;22558
435;872;23277
436;874;22234
437;876;22542
438;878;22870
439;880;23525
440;882;24103
441;884;24343
442;886;35131
443;888;28876
444;890;24223
445;892;23936
446;894;24221
447;896;23858
448;898;23118
449;900;24326
450;902;23960
451;904;23664
452;906;27039
453;908;25230
454;910;25520
455;912;25093
456;914;25769
457;916;25339
458;918;24704
459;920;26556
460;922;24840
461;924;25119
462;926;25318
463;928;25462
464;930;24777
465;932;25103
466;934;25328
467;936;25432
468;938;25281
469;940;27672
470;942;26030
471;944;25171
472;946;24900
473;948;24991
474;950;25189
475;952;25010
476;954;27417
477;956;25758
478;958;26491
479;960;25831
480;962;25399
481;964;25473
482;966;26765
483;968;32327
484;970;26493
485;972;26522
486;974;28126
487;976;28291
488;978;27145
489;980;26770
490;982;26133
491;984;26936
492;986;29887
493;988;27010
494;990;27653
495;992;27742
496;994;27850
497;996;27975
498;998;28392
499;1000;27925
500;1002;28240
501;1004;31272
502;1006;27985
503;1008;27663
504;1010;28286
505;1012;28402
506;1014;27301
507;1016;27516
508;1018;28236
509;1020;28297
510;1022;28553
511;1024;56653
512;1026;56999
513;1028;57198
514;1030;57606
515;1032;60431
516;1034;59711
517;1036;58531
518;1038;58168
519;1040;57807
520;1042;58425
521;1044;58554
522;1046;56917
523;1048;57943
524;1050;57745
525;1052;58401
526;1054;57062
527;1056;57674
528;1058;58572
529;1060;56332
530;1062;56357
531;1064;55703
532;1066;58911
533;1068;56274
534;1070;61326
535;1072;60168
536;1074;59630
537;1076;58740
538;1078;59246
539;1080;58252
540;1082;58742
541;1084;58557
542;1086;60696
543;1088;59013
544;1090;58965
545;1092;59042
546;1094;59845
547;1096;59985
548;1098;59688
549;1100;64260
550;1102;60846
551;1104;60758
552;1106;64544
553;1108;77902
554;1110;60196
555;1112;60623
556;1114;59973
557;1116;60843
558;1118;60992
559;1120;63188
560;1122;59627
561;1124;60005
562;1126;60054
563;1128;60822
564;1130;61694
565;1132;59808
566;1134;59886
567;1136;61902
568;1138;62446
569;1140;61885
570;1142;64250
571;1144;61728
572;1146;62938
573;1148;61635
574;1150;61957
575;1152;62874
576;1154;61006
577;1156;60529
578;1158;61217
579;1160;61485
580;1162;62217
581;1164;64958
582;1166;64271
583;1168;63193
584;1170;62705
585;1172;63293
586;1174;63396
587;1176;62618
588;1178;66897
589;1180;64892
590;1182;63639
591;1184;63873
592;1186;63384
593;1188;61638
594;1190;60134
595;1192;59795
596;1194;61195
597;1196;62416
598;1198;65148
599;1200;64002
600;1202;64369
601;1204;64850
602;1206;64951
603;1208;61498
604;1210;63363
605;1212;75668
606;1214;65157
607;1216;64921
608;1218;61529
609;1220;61152
610;1222;62137
611;1224;68075
612;1226;64065
613;1228;64922
614;1230;61338
615;1232;65002
616;1234;64733
617;1236;64965
618;1238;64595
619;1240;65850
620;1242;63184
621;1244;62960
622;1246;68044
623;1248;68589
624;1250;66249
625;1252;68022
626;1254;67174
627;1256;65994
628;1258;65148
629;1260;62929
630;1262;67926
631;1264;66180
632;1266;65699
633;1268;66407
634;1270;65587
635;1272;67762
636;1274;66904
637;1276;64638
638;1278;67281
639;1280;85452
640;1282;66295
641;1284;66200
642;1286;64848
643;1288;66021
644;1290;68561
645;1292;65370
646;1294;66557
647;1296;68240
648;1298;68799
649;1300;66848
650;1302;67619
651;1304;67163
652;1306;63621
653;1308;69668
654;1310;66272
655;1312;70383
656;1314;72574
657;1316;65844
658;1318;69634
659;1320;71806
660;1322;66797
661;1324;66058
662;1326;66493
663;1328;67399
664;1330;67246
665;1332;66926
666;1334;66640
667;1336;66972
668;1338;66324
669;1340;66330
670;1342;71400
671;1344;85495
672;1346;78074
673;1348;73288
674;1350;73853
675;1352;72482
676;1354;72174
677;1356;68899
678;1358;72811
679;1360;73047
680;1362;69386
681;1364;70343
682;1366;67486
683;1368;74402
684;1370;72083
685;1372;71553
686;1374;74969
687;1376;77236
688;1378;74126
689;1380;72679
690;1382;69994
691;1384;70891
692;1386;69666
693;1388;70948
694;1390;69534
695;1392;69150
696;1394;68739
697;1396;73163
698;1398;75081
699;1400;75382
700;1402;75451
701;1404;76644
702;1406;75264
703;1408;74013
704;1410;74731
705;1412;72995
706;1414;73790
707;1416;74609
708;1418;74897
709;1420;75329
710;1422;73917
711;1424;73607
712;1426;75024
713;1428;75489
714;1430;76905
715;1432;76536
716;1434;77483
717;1436;78920
718;1438;76588
719;1440;75047
720;1442;72187
721;1444;71819
722;1446;73505
723;1448;72019
724;1450;72980
725;1452;73941
726;1454;74337
727;1456;73080
728;1458;72471
729;1460;75838
730;1462;77552
731;1464;102487
732;1466;78179
733;1468;72688
734;1470;75781
735;1472;73930
736;1474;82977
737;1476;79814
