experiment_number;exponent;avg_time_microseconds
407;816;22582
408;818;21353
409;820;21809
410;822;23371
411;824;22284
412;826;22019
413;828;23191
414;830;21851
415;832;22281
416;834;22419
417;836;22494
418;838;23497
419;840;25256
420;842;22702
421;844;22358
422;846;22624
423;848;23397
424;850;23659
425;852;22930
426;854;23004
427;856;22859
428;858;25134
429;860;25076
430;862;22967
431;864;23067
432;866;23675
433;868;23620
434;870;24731
435;872;26120
436;874;23270
437;876;23336
438;878;24587
439;880;23750
440;882;23604
441;884;23532
442;886;23590
443;888;23710
444;890;24244
445;892;23804
446;894;24076
447;896;23858
448;898;24394
449;900;22956
450;902;23994
451;904;23959
452;906;23241
453;908;24207
454;910;24133
455;912;23165
456;914;24017
457;916;23720
458;918;23693
459;920;23621
460;922;23283
461;924;24680
462;926;23472
463;928;24181
464;930;23722
465;932;23983
466;934;24986
467;936;24056
468;938;24387
469;940;23933
470;942;24616
471;944;25799
472;946;26384
473;948;24454
474;950;24591
475;952;24010
476;954;27090
477;956;26571
478;958;26783
479;960;26686
480;962;26981
481;964;25405
482;966;24698
483;968;25416
484;970;25712
485;972;25107
486;974;26277
487;976;26172
488;978;25885
489;980;26985
490;982;27434
491;984;27669
492;986;27542
493;988;28323
494;990;27581
495;992;27777
496;994;27672
497;996;27631
498;998;27973
499;1000;28876
500;1002;27594
501;1004;27118
502;1006;28682
503;1008;29549
504;1010;29603
505;1012;28408
506;1014;28415
507;1016;28540
508;1018;29807
509;1020;29473
510;1022;28460
511;1024;56075
512;1026;58965
513;1028;65007
514;1030;61779
515;1032;55443
516;1034;54770
517;1036;55892
518;1038;56455
519;1040;57554
520;1042;56503
521;1044;58810
522;1046;59541
523;1048;59200
524;1050;56249
525;1052;55958
526;1054;57807
527;1056;60163
528;1058;56442
529;1060;56819
530;1062;59325
531;1064;58169
532;1066;60240
533;1068;65943
534;1070;61055
535;1072;59998
536;1074;55521
537;1076;58937
538;1078;59475
539;1080;57180
540;1082;57104
541;1084;57424
542;1086;57093
543;1088;55213
544;1090;58028
545;1092;62801
546;1094;62757
547;1096;60961
548;1098;60830
549;1100;58000
550;1102;67170
551;1104;61891
552;1106;59956
553;1108;59234
554;1110;58421
555;1112;58397
556;1114;60902
557;1116;58442
558;1118;58685
559;1120;59845
560;1122;62411
561;1124;61915
562;1126;64147
563;1128;61579
564;1130;58767
565;1132;60985
566;1134;62069
567;1136;63154
568;1138;64614
569;1140;65708
570;1142;62844
571;1144;62743
572;1146;61848
573;1148;60935
574;1150;61407
575;1152;60908
576;1154;61857
577;1156;63749
578;1158;63953
579;1160;62116
580;1162;61441
581;1164;61123
582;1166;59472
583;1168;61145
584;1170;60886
585;1172;60754
586;1174;66898
587;1176;68479
588;1178;62094
589;1180;63497
590;1182;62579
591;1184;64047
592;1186;61618
593;1188;63196
594;1190;61321
595;1192;65929
596;1194;62465
597;1196;61139
598;1198;63117
599;1200;74241
600;1202;63645
601;1204;61943
602;1206;62112
603;1208;82082
604;1210;68209
605;1212;61555
606;1214;60894
607;1216;60758
608;1218;63378
609;1220;62994
610;1222;61209
611;1224;68258
612;1226;64012
613;1228;64235
614;1230;61760
615;1232;62430
616;1234;63462
617;1236;62056
618;1238;62963
619;1240;65902
620;1242;82738
621;1244;66026
622;1246;62273
623;1248;64539
624;1250;64412
625;1252;64803
626;1254;66200
627;1256;69809
628;1258;64042
629;1260;64207
630;1262;63912
631;1264;64714
632;1266;62133
633;1268;63996
634;1270;64185
635;1272;63492
636;1274;66029
637;1276;71101
638;1278;68480
639;1280;63398
640;1282;65542
641;1284;64584
642;1286;64246
643;1288;68711
644;1290;64291
645;1292;63823
646;1294;65642
647;1296;67560
648;1298;67525
649;1300;66041
650;1302;67114
651;1304;65366
652;1306;64617
653;1308;69166
654;1310;81649
655;1312;68750
656;1314;70474
657;1316;71099
658;1318;70079
659;1320;70047
660;1322;67372
661;1324;68203
662;1326;69954
663;1328;70757
664;1330;74727
665;1332;71408
