experiment_number;factor_blocks;modulus_blocks;avg_time_microseconds
0;1;4;7
10;2;4;15
20;3;4;36
30;4;4;73
40;5;4;104
50;6;4;148
60;7;4;196
70;8;4;203
80;9;4;231
90;10;4;215
100;11;4;254
110;12;4;289
120;13;4;305
130;14;4;371
140;15;4;408
150;16;4;436
160;17;4;470
170;18;4;472
180;19;4;503
190;20;4;540
200;21;4;578
210;22;4;622
220;23;4;642
230;24;4;695
240;25;4;733
250;26;4;774
260;27;4;808
270;28;4;874
280;29;4;899
290;30;4;955
300;31;4;1019
310;32;4;1051
