modulus_blocks;factor_blocks;avg_peak_memory;avg_allocations
8;5;20160;610
16;10;74102;1190
32;21;318328;2583
64;42;1258616;5188
128;85;5106284;10557
256;170;20258846;21025
512;341;81608940;42382
1024;682;326466735;84874
