modulus_blocks;factor_blocks;avg_peak_memory;avg_allocations
8;5;25310;914
16;10;88916;1792
32;21;375460;3843
64;42;1476912;7704
128;85;5983618;15643
256;170;23740278;31194
512;341;95563588;62776
1024;682;382187829;125658
