experiment_number;exponent;avg_time_microseconds
738;1478;77466
739;1480;76105
740;1482;76328
741;1484;80408
742;1486;89155
743;1488;79871
744;1490;75627
745;1492;78240
746;1494;80682
747;1496;79090
748;1498;79515
749;1500;80493
750;1502;80622
751;1504;81585
752;1506;80059
753;1508;78292
754;1510;81894
755;1512;96101
756;1514;82860
757;1516;81308
758;1518;81368
759;1520;83312
760;1522;83099
761;1524;83445
762;1526;84558
763;1528;82942
764;1530;81442
765;1532;83967
766;1534;81537
767;1536;80027
768;1538;80008
769;1540;82177
770;1542;76848
771;1544;77551
772;1546;79095
773;1548;79633
774;1550;78763
775;1552;79043
776;1554;78334
777;1556;77235
778;1558;79179
779;1560;80616
780;1562;77948
781;1564;80123
782;1566;99920
783;1568;78680
784;1570;82425
785;1572;80957
786;1574;82563
787;1576;81059
788;1578;80952
789;1580;79668
790;1582;81730
791;1584;81928
792;1586;84007
793;1588;86692
794;1590;81850
795;1592;84569
796;1594;84822
797;1596;82167
798;1598;80353
799;1600;84537
800;1602;81474
801;1604;83233
802;1606;86285
803;1608;83429
804;1610;87186
805;1612;83828
806;1614;82682
807;1616;82323
808;1618;92979
809;1620;93280
810;1622;83843
811;1624;84335
812;1626;82754
813;1628;93549
814;1630;92988
815;1632;88799
816;1634;92742
817;1636;86988
818;1638;87757
819;1640;89100
820;1642;90545
821;1644;100300
822;1646;86661
823;1648;96216
824;1650;88289
825;1652;86498
826;1654;86384
827;1656;86989
828;1658;86592
829;1660;85125
830;1662;87486
831;1664;84717
832;1666;86492
833;1668;98689
834;1670;90490
835;1672;87573
836;1674;88411
837;1676;87404
838;1678;88593
839;1680;88118
840;1682;84596
841;1684;86045
842;1686;90380
843;1688;87359
844;1690;86918
845;1692;88978
846;1694;95638
847;1696;86788
848;1698;85554
849;1700;84734
850;1702;86057
851;1704;88452
852;1706;87098
853;1708;85098
854;1710;87370
855;1712;86049
856;1714;85730
857;1716;86409
858;1718;96772
859;1720;93388
860;1722;87133
861;1724;88760
862;1726;89983
863;1728;88037
864;1730;88488
865;1732;87176
866;1734;86653
867;1736;88323
868;1738;89643
869;1740;89997
870;1742;90291
871;1744;98134
872;1746;88169
873;1748;87808
874;1750;88101
875;1752;89551
876;1754;87166
877;1756;89050
878;1758;93251
879;1760;93033
880;1762;91829
881;1764;92041
882;1766;94262
883;1768;95178
884;1770;92303
885;1772;90640
886;1774;90288
887;1776;92522
888;1778;92823
889;1780;92477
890;1782;91376
891;1784;91939
892;1786;91265
893;1788;90608
894;1790;93881
895;1792;105208
896;1794;90800
897;1796;90326
898;1798;90356
899;1800;92402
900;1802;93318
901;1804;94235
902;1806;93552
903;1808;96401
904;1810;93330
905;1812;91469
906;1814;100769
907;1816;99694
908;1818;95287
909;1820;95728
910;1822;91866
911;1824;92504
912;1826;93528
913;1828;94508
914;1830;93481
915;1832;91974
916;1834;94965
917;1836;96439
918;1838;104777
919;1840;93349
920;1842;93317
921;1844;95155
922;1846;95858
923;1848;93659
924;1850;94446
925;1852;95806
926;1854;96351
927;1856;94305
928;1858;96331
929;1860;99778
930;1862;101380
931;1864;96778
932;1866;98541
933;1868;100338
934;1870;97218
935;1872;96224
936;1874;100682
937;1876;97660
938;1878;99732
939;1880;100802
940;1882;102347
941;1884;106850
942;1886;99315
943;1888;100142
944;1890;98462
945;1892;96312
946;1894;93307
947;1896;97055
948;1898;100630
949;1900;99244
950;1902;99947
951;1904;103409
952;1906;116658
953;1908;98758
954;1910;98408
955;1912;100442
956;1914;99161
957;1916;100231
958;1918;99144
959;1920;101888
960;1922;98252
961;1924;99845
962;1926;111930
963;1928;111950
964;1930;101005
965;1932;99509
966;1934;100170
967;1936;101139
968;1938;101064
969;1940;102217
970;1942;99292
971;1944;102526
972;1946;99442
973;1948;126461
974;1950;105118
975;1952;102742
976;1954;102735
977;1956;103851
978;1958;102236
979;1960;102095
980;1962;104018
981;1964;107164
982;1966;108486
983;1968;108932
984;1970;108742
985;1972;106943
986;1974;105866
987;1976;104093
988;1978;102199
989;1980;105257
990;1982;107845
991;1984;107802
992;1986;102467
993;1988;101529
994;1990;127804
995;1992;106497
996;1994;106064
997;1996;104034
998;1998;103031
999;2000;106600
1000;2002;105582
1001;2004;104352
1002;2006;105951
1003;2008;106438
1004;2010;112344
1005;2012;116190
1006;2014;110374
1007;2016;107507
1008;2018;107716
1009;2020;106924
1010;2022;107513
1011;2024;107147
1012;2026;109181
1013;2028;108602
1014;2030;113003
1015;2032;116924
1016;2034;105782
1017;2036;108165
1018;2038;110523
1019;2040;110574
1020;2042;107968
1021;2044;107749
1022;2046;110861
1023;2048;225038
