experiment_number;exponent;avg_time_microseconds
0;2;2
1;4;4
2;6;4
3;8;8
4;10;9
5;12;9
6;14;10
7;16;19
8;18;20
9;20;21
10;22;23
11;24;24
12;26;33
13;28;28
14;30;30
15;32;61
16;34;63
17;36;66
18;38;69
19;40;72
20;42;74
21;44;78
22;46;81
23;48;81
24;50;85
25;52;89
26;54;93
27;56;114
28;58;101
29;60;106
30;62;111
31;64;227
32;66;232
33;68;237
34;70;242
35;72;255
36;74;253
37;76;259
38;78;276
39;80;268
40;82;274
41;84;281
42;86;287
43;88;295
44;90;301
45;92;307
46;94;315
47;96;309
48;98;317
49;100;324
50;102;333
51;104;340
52;106;359
53;108;357
54;110;365
55;112;370
56;114;379
57;116;388
58;118;397
59;120;406
60;122;416
61;124;425
62;126;441
63;128;902
64;130;898
65;132;908
66;134;918
67;136;932
68;138;939
69;140;950
70;142;961
71;144;973
72;146;982
73;148;993
74;150;1005
75;152;1020
76;154;1028
77;156;1040
78;158;1056
79;160;1054
80;162;1064
81;164;1076
82;166;1094
83;168;1102
84;170;1116
85;172;1130
86;174;1173
87;176;1156
88;178;1169
89;180;1186
90;182;1198
91;184;1213
92;186;1227
93;188;1242
94;190;1255
95;192;1217
96;194;1236
97;196;1246
98;198;1262
99;200;1276
100;202;1296
101;204;1309
102;206;1342
103;208;1339
104;210;1356
105;212;1375
106;214;1399
107;216;1406
108;218;1458
109;220;1481
110;222;1485
111;224;1501
112;226;1525
113;228;1498
114;230;1521
115;232;1537
116;234;1600
117;236;1614
118;238;1606
119;240;1607
120;242;1674
121;244;1690
122;246;1668
123;248;1684
124;250;1707
125;252;1730
126;254;1747
127;256;3564
128;258;3552
129;260;3547
130;262;3633
131;264;3642
132;266;3526
133;268;3406
134;270;3714
135;272;3815
136;274;3760
137;276;3730
138;278;3765
139;280;3776
140;282;3801
141;284;3832
142;286;3875
143;288;3853
144;290;3876
145;292;3905
146;294;3923
147;296;3946
148;298;3974
149;300;4051
150;302;4160
151;304;4067
152;306;4064
153;308;4096
154;310;4141
155;312;4138
156;314;4160
157;316;4188
158;318;4210
159;320;4186
160;322;4207
161;324;4308
162;326;4288
163;328;4284
164;330;4309
165;332;4438
166;334;4363
167;336;4387
168;338;4430
169;340;4441
170;342;4494
171;344;4507
172;346;4524
173;348;4630
174;350;4596
175;352;4598
176;354;4629
177;356;4769
178;358;4685
179;360;4725
180;362;4736
181;364;4844
182;366;4800
183;368;4819
184;370;4849
185;372;4932
186;374;4930
187;376;4945
188;378;4586
189;380;4786
190;382;4928
191;384;4939
192;386;4984
193;388;4632
194;390;4811
195;392;4646
196;394;4921
197;396;5102
198;398;5071
199;400;4980
200;402;4971
201;404;5245
202;406;5000
203;408;5309
204;410;4983
205;412;5202
206;414;5377
207;416;4950
208;418;5460
209;420;5537
210;422;4896
211;424;5464
212;426;5366
213;428;5579
214;430;5591
215;432;5304
216;434;5654
217;436;5550
218;438;5684
219;440;5786
220;442;5913
221;444;5396
222;446;6045
223;448;5213
224;450;5988
225;452;5909
226;454;5850
227;456;6170
228;458;6015
229;460;6170
230;462;6102
231;464;6322
232;466;6182
233;468;6208
234;470;6887
235;472;6294
236;474;6317
237;476;6382
238;478;6395
239;480;6574
240;482;6454
241;484;6688
242;486;6527
243;488;6600
244;490;6594
245;492;6668
246;494;6684
247;496;6726
248;498;6755
249;500;6853
250;502;6859
251;504;6976
252;506;6923
253;508;6987
254;510;7018
255;512;14497
256;514;14196
257;516;14189
258;518;14234
259;520;14302
260;522;14358
261;524;14349
262;526;14506
263;528;14417
264;530;14532
265;532;14521
266;534;14612
267;536;14627
268;538;14692
269;540;14915
270;542;13751
271;544;15143
272;546;14764
273;548;14358
274;550;14870
275;552;14917
276;554;14960
277;556;15051
278;558;15906
279;560;15177
280;562;15191
281;564;15244
282;566;15239
283;568;15268
284;570;15331
285;572;15361
286;574;15578
287;576;15458
288;578;15576
289;580;14962
290;582;15774
291;584;15756
292;586;15671
293;588;15860
294;590;15673
295;592;15842
296;594;15960
297;596;15931
298;598;15655
299;600;16112
300;602;14965
301;604;16191
302;606;16157
303;608;16037
304;610;15436
305;612;15939
306;614;16096
307;616;16152
308;618;15981
309;620;16509
310;622;16629
311;624;17540
312;626;16610
313;628;16729
314;630;16403
315;632;16521
316;634;16613
317;636;16822
318;638;16990
319;640;16039
320;642;16573
321;644;16849
322;646;16906
323;648;16958
324;650;17050
325;652;17019
326;654;17111
327;656;17206
328;658;16885
329;660;17103
330;662;16846
331;664;16917
332;666;17478
333;668;17325
334;670;17566
335;672;17213
336;674;16794
337;676;17926
338;678;17280
339;680;17493
340;682;17574
341;684;18027
342;686;17419
343;688;17950
344;690;17859
345;692;17587
346;694;18121
347;696;17225
348;698;17881
349;700;17560
350;702;17924
351;704;17507
352;706;18098
353;708;18228
354;710;18080
355;712;17800
356;714;18316
357;716;18823
358;718;18911
359;720;18797
360;722;18508
361;724;19144
362;726;18629
363;728;18553
364;730;18675
365;732;19857
366;734;18682
367;736;19041
368;738;19492
369;740;18886
370;742;19711
371;744;19270
372;746;19332
373;748;19189
374;750;20068
375;752;18966
376;754;19996
377;756;19240
378;758;19835
379;760;20033
380;762;20159
381;764;19883
382;766;20270
383;768;19051
384;770;19454
385;772;19012
386;774;19408
387;776;19772
388;778;19812
389;780;19911
390;782;19339
391;784;19870
392;786;19513
393;788;20056
394;790;19887
395;792;19303
396;794;19797
397;796;19976
398;798;19726
399;800;20551
400;802;20576
401;804;20673
402;806;20572
403;808;20629
404;810;20136
405;812;20099
406;814;21109
407;816;21698
408;818;20479
409;820;20745
410;822;20190
411;824;20417
412;826;20959
413;828;21603
414;830;20740
415;832;20716
416;834;20233
417;836;20912
418;838;21520
419;840;21360
420;842;21517
421;844;21192
422;846;21807
423;848;20729
424;850;21482
425;852;21115
426;854;21664
427;856;22082
428;858;21777
429;860;21600
430;862;22431
431;864;22524
432;866;22577
433;868;22594
434;870;22658
435;872;22145
436;874;22171
437;876;22511
438;878;22246
439;880;24405
440;882;22272
441;884;23230
442;886;23359
443;888;22463
444;890;23562
445;892;22983
446;894;22016
447;896;23011
448;898;23199
449;900;22745
450;902;22601
451;904;23839
452;906;23281
453;908;23500
454;910;23378
455;912;23900
456;914;24052
457;916;23061
458;918;23953
459;920;24164
460;922;23962
461;924;24520
462;926;24146
463;928;23996
464;930;24142
465;932;24603
466;934;24885
467;936;23852
468;938;24789
469;940;24762
470;942;24331
471;944;24950
472;946;24421
473;948;25080
474;950;24602
475;952;25381
476;954;25583
477;956;25572
478;958;25677
479;960;25654
480;962;25714
481;964;25866
482;966;26012
483;968;26435
484;970;25805
485;972;25051
486;974;26132
487;976;26467
488;978;25695
489;980;28623
490;982;25087
491;984;25490
492;986;26798
493;988;25752
494;990;27107
495;992;26339
496;994;25613
497;996;26614
498;998;27130
499;1000;26836
500;1002;26321
501;1004;26316
502;1006;26627
503;1008;26830
504;1010;27877
505;1012;26739
506;1014;27463
507;1016;26809
508;1018;27061
509;1020;28509
510;1022;28205
511;1024;54517
512;1026;54721
513;1028;56630
514;1030;56744
515;1032;56184
516;1034;54968
517;1036;55128
518;1038;57055
519;1040;54477
520;1042;56176
521;1044;56084
522;1046;55098
523;1048;55251
524;1050;55879
525;1052;56466
526;1054;57919
527;1056;55330
528;1058;56092
529;1060;54802
530;1062;56692
531;1064;58304
532;1066;58270
533;1068;58528
534;1070;58349
535;1072;58587
536;1074;56046
537;1076;57050
538;1078;56534
539;1080;56402
540;1082;55954
541;1084;57859
542;1086;56898
543;1088;54815
544;1090;56698
545;1092;57274
546;1094;57345
547;1096;56508
548;1098;57408
549;1100;58162
550;1102;60050
551;1104;59965
552;1106;59968
553;1108;58178
554;1110;58318
555;1112;58658
556;1114;58197
557;1116;57800
558;1118;59732
559;1120;59500
560;1122;59590
561;1124;60795
562;1126;60482
563;1128;57825
564;1130;61372
565;1132;61436
566;1134;60676
567;1136;59819
568;1138;58150
569;1140;60101
570;1142;61588
571;1144;60479
572;1146;60424
573;1148;60195
574;1150;60095
575;1152;61652
576;1154;61823
577;1156;60182
578;1158;61649
579;1160;64202
580;1162;62362
581;1164;62653
582;1166;63460
583;1168;61551
584;1170;62725
585;1172;62687
586;1174;62765
587;1176;62912
588;1178;62911
589;1180;65650
590;1182;63283
591;1184;62461
592;1186;62063
593;1188;62935
594;1190;63738
595;1192;63448
596;1194;63321
597;1196;62309
598;1198;62483
599;1200;62449
600;1202;62084
601;1204;63792
602;1206;64182
603;1208;64113
604;1210;64583
605;1212;64777
606;1214;64653
607;1216;64872
608;1218;64610
609;1220;63018
610;1222;64894
611;1224;64226
612;1226;63803
613;1228;64679
614;1230;64872
615;1232;69148
616;1234;66725
617;1236;66381
618;1238;67440
619;1240;68515
620;1242;69365
621;1244;71009
622;1246;87447
623;1248;67900
624;1250;68735
625;1252;66545
626;1254;64896
627;1256;65038
628;1258;68307
629;1260;67741
630;1262;69112
631;1264;68645
632;1266;67802
633;1268;67125
634;1270;67790
635;1272;67467
636;1274;67847
637;1276;75332
638;1278;76178
639;1280;67015
640;1282;66504
641;1284;67679
642;1286;66380
643;1288;65725
644;1290;65982
645;1292;70196
646;1294;70039
647;1296;70637
648;1298;69479
649;1300;70129
650;1302;69932
651;1304;69748
652;1306;70168
653;1308;71624
654;1310;74875
655;1312;70087
656;1314;69936
657;1316;69833
658;1318;68971
659;1320;68744
660;1322;67876
661;1324;66562
662;1326;67345
663;1328;67454
664;1330;68811
665;1332;68114
666;1334;68549
667;1336;67114
668;1338;70374
669;1340;71568
670;1342;71721
671;1344;69426
672;1346;69854
673;1348;68791
674;1350;70834
675;1352;68383
676;1354;68013
677;1356;68986
678;1358;70341
679;1360;71805
680;1362;71970
681;1364;71153
682;1366;72102
683;1368;71995
684;1370;74854
685;1372;78896
686;1374;74933
687;1376;74878
688;1378;69841
689;1380;72104
690;1382;73666
691;1384;74338
692;1386;78206
693;1388;74030
694;1390;74824
695;1392;73992
696;1394;73991
697;1396;76388
698;1398;76706
699;1400;92003
700;1402;93991
701;1404;79287
702;1406;74751
703;1408;75599
704;1410;71920
705;1412;75328
706;1414;73011
707;1416;73366
708;1418;77166
709;1420;75949
710;1422;75068
711;1424;75587
712;1426;75006
713;1428;85220
714;1430;79637
715;1432;76310
716;1434;75432
717;1436;76383
718;1438;77790
719;1440;77430
720;1442;75888
721;1444;76401
722;1446;75988
723;1448;74792
724;1450;74009
725;1452;73889
726;1454;75786
727;1456;85297
728;1458;82434
729;1460;74401
730;1462;76601
731;1464;75833
732;1466;75385
733;1468;74894
734;1470;74974
735;1472;75538
736;1474;76264
737;1476;78303
