experiment_number;factor_blocks;modulus_blocks;avg_time_microseconds
0;1;4;7
10;2;4;15
20;3;4;35
30;4;4;74
40;5;4;96
50;6;4;154
60;7;4;172
70;8;4;204
80;9;4;229
90;10;4;217
100;11;4;252
110;12;4;304
120;13;4;327
130;14;4;350
140;15;4;373
150;16;4;414
160;17;4;439
170;18;4;542
180;19;4;526
190;20;4;583
200;21;4;595
210;22;4;622
220;23;4;686
230;24;4;734
240;25;4;762
250;26;4;821
260;27;4;810
270;28;4;892
280;29;4;937
290;30;4;979
300;31;4;1001
310;32;4;1057
